Donated,Gender,Race,Currently Using Award,Education,Years in Current job,CY Helped in Career,Recommend CY,Significantly positive impact,Helped Develop Relationship,Increased Civic Engagement,Top Experience Score,Will Support,Support CY Score
1,1,4,0,2,2,4,2,4,1,1,1.891891892,1,4
1,0,4,1,0,1,4,2,4,1,1,1.175675676,,0
0,1,8,1,0,1,3,0,2,1,0,2.162162162,0,0
1,0,9,1,1,1,3,2,4,1,1,0.405405405,1,4
1,1,9,1,2,2,4,2,4,1,1,0.202702703,1,3
1,1,9,0,1,1,4,1,4,1,1,0.486486486,,1
0,1,5,1,0,,,,,,,0.486486486,0,0
0,0,1,1,2,2,4,0,4,1,0,0.486486486,1,2
1,0,1,1,,1,3,2,4,1,1,0.243243243,1,4
1,0,9,1,1,4,3,2,4,1,1,0.405405405,1,
0,0,3,0,1,1,4,2,4,1,1,0.243243243,1,4
1,1,1,1,1,3,3,2,4,1,1,0.202702703,1,2
1,0,9,1,2,1,4,2,4,1,1,0.243243243,1,3
1,1,9,1,2,2,4,2,4,1,1,0.445945946,1,4
0,0,9,1,1,,,,,,,0.445945946,0,
1,1,9,1,1,1,4,2,4,1,1,0.243243243,1,4
0,1,9,1,1,1,2,2,4,1,1,0.202702703,0,0
1,0,6,1,1,1,3,2,4,1,1,0.405405405,1,2
0,1,3,0,1,1,1,2,4,1,1,0.445945946,1,4
1,1,1,1,1,1,4,2,4,1,1,0.486486486,1,4
0,0,9,0,1,1,1,0,2,0,0,0.405405405,0,0
0,1,8,0,1,1,4,1,4,1,1,0.324324324,0,0
